centro_nv2;nps_tradicional;nps_ajustado;delta;faixa_trad;faixa_ajust;mudou_faixa;flag;alerta
L5165-MOGI DAS CRUZES MOGILAR;89.56469886702445;89.56469886702445;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5166-MAIRIPORA;85.3842527109854;85.3842527109854;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5168-SALTO;91.56574394463668;91.56574394463668;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5169-JACAREI;89.73655323819978;89.73655323819978;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5172-PRESIDENTE PRUDENTE;93.98333847577908;93.98333847577908;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5173-PERUIBE;87.96861377506538;87.96861377506538;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5174-PERI PERI;81.82352941176471;81.82352941176471;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5175-PARQUE SAO LUCAS;91.11189801699717;91.11189801699717;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5176-BRAGANCA PAULISTA;86.03603603603604;86.03603603603604;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5177-FREGUESIA DO O;84.42456283041886;84.42456283041886;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5178-PERIMETRAL;88.11748998664886;88.11748998664886;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5179-VILA YARA;87.9261933413558;87.9261933413558;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5180-FREI CANECA;83.98938522777533;83.98938522777533;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5181-RIBEIRAO PIRES;89.76207642393655;89.76207642393655;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5182-SAO JOSE DO RIO PRETO (DAMHA);88.06818181818183;88.06818181818183;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5184-PRACA VARNHAGEM;87.07648610265774;87.07648610265774;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5185-CLODOMIRO;80.73859522085446;80.73859522085446;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5186-VILA DAS MERCES;83.95385422128999;83.95385422128999;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5187-MUTIRAO;86.428130783467;86.428130783467;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5188-CAJAMAR;89.19265271251602;89.19265271251602;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5192-ALPHAVILLE CONDE;85.09369676320273;85.09369676320273;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5193-COTIA;85.1657022619674;85.1657022619674;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5195-LEME;94.68367889420522;94.68367889420522;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5197-LIMEIRA;93.83738995339202;93.83738995339202;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5198-VILA RESENDE;90.44347282948158;90.44347282948158;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5199-CASA VERDE;83.98849472674976;83.98849472674976;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5200-JUVENTUS;80.4772234273319;80.4772234273319;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5201-ANA COSTA;89.85095812633072;89.85095812633072;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5202-VILA CAICARA;90.62396830637174;90.62396830637174;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5204-ITAQUA;90.05102040816327;90.05102040816327;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5205-GRANJA KM 26;84.6938775510204;84.6938775510204;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5206-CACHOEIRINHA;83.57380688124306;83.57380688124306;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5207-SANTO ANDRE ORATORIO;90.07001909611712;90.07001909611712;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5209-ITABERABA;87.32568949488689;87.32568949488689;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5210-CAMPANELLA;85.82788980403294;85.82788980403294;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5213-REMEDIOS ONIX;88.95781637717121;88.95781637717121;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5214-SAO MIGUEL;89.4128384545178;89.4128384545178;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5215-VILA EMA;89.19254658385093;89.19254658385093;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5216-UBATUBA;91.34889015367102;91.34889015367102;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5218-PARELHEIROS;91.64309591154537;91.64309591154537;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
