centro_nv2;flag;uf;regiao;comentarios;comentarios_negativos;comentarios_negativos_longos;pct_negativo;severidade_media;severidade_p90;nps_tradicional;nps_textual;nps_hibrido;avaliacoes_ponderadas;linhas_avaliacao;transacoes;delta_textual_vs_tradicional;delta_hibrido_vs_tradicional;indice_prioridade;faixa_nps_tradicional;faixa_nps_textual;faixa_nps_hibrido;quadrante_risco;risco_oculto
L5034-D. PEDRO LL (0873);REGULAR;SP;RMSP;553;67;27;12.12;28.276003616636526;74.78800000000001;66.36528028933093;60.57866184448463;65.64195298372513;2657.0;1146.0;0.0;-5.79;-0.72;39.08;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5168-SALTO;REGULAR;SP;Interior;412;33;14;8.01;24.728980582524272;61.843;74.75728155339806;69.90291262135922;71.35922330097088;2312.0;945.0;86252.0;-4.85;-3.4;39.02;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5229-GLAUCIO GIL;REGULAR;RJ;RJ;582;47;13;8.08;24.64201030927835;61.084999999999994;75.08591065292096;70.27491408934708;71.8213058419244;2492.0;1131.0;107821.0;-4.81;-3.26;38.84;excelente;zona_qualidade;zona_qualidade;atencao_leve;False
L5163-TAQUARI;REGULAR;DF;DF;345;30;10;8.7;24.7844347826087;61.10600000000001;76.52173913043478;68.40579710144927;71.01449275362319;1568.0;843.0;72248.0;-8.12;-5.51;38.41;excelente;zona_qualidade;zona_qualidade;atencao_leve;False
L5216-UBATUBA;REGULAR;SP;Litoral;408;37;9;9.07;24.740735294117645;60.03500000000001;73.77450980392157;68.87254901960785;72.30392156862744;1757.0;887.0;92775.0;-4.9;-1.47;38.36;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5172-PRESIDENTE PRUDENTE;REGULAR;SP;Interior;588;51;16;8.67;23.67760204081633;59.73000000000002;80.61224489795919;72.44897959183673;76.19047619047619;3241.0;1173.0;76973.0;-8.16;-4.42;38.23;excelente;zona_qualidade;excelente;atencao_leve;False
L5150-ARARAQUARA;REGULAR;SP;Interior;585;45;14;7.69;24.384564102564102;59.95400000000001;73.67521367521368;70.5982905982906;71.7948717948718;3132.0;1183.0;89553.0;-3.08;-1.88;38.18;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5117-NOVA GRANADA;REGULAR;SP;RMSP;1094;80;24;7.31;22.271078610603293;56.41;79.15904936014626;77.42230347349177;77.6965265082267;3306.0;1776.0;161617.0;-1.74;-1.46;37.48;excelente;excelente;excelente;atencao_leve;False
L5259-ALL WAYS MALL;REGULAR;RJ;RJ;677;53;17;7.83;23.70472673559823;59.38999999999999;77.25258493353027;72.3781388478582;76.07090103397341;2059.0;1262.0;78219.0;-4.87;-1.18;37.33;excelente;zona_qualidade;excelente;atencao_leve;False
L5235-LOUVEIRA;TOCADORA;SP;Interior;242;26;6;10.74;23.621942148760333;68.553;74.79338842975206;70.24793388429752;74.3801652892562;1147.0;678.0;64761.0;-4.55;-0.41;37.11;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5160-GUARATINGUETA;REGULAR;SP;Interior;503;35;17;6.96;23.387773359840953;56.42;79.52286282306163;72.36580516898609;76.93836978131213;2574.0;1077.0;97332.0;-7.16;-2.58;35.77;excelente;zona_qualidade;excelente;atencao_leve;False
L5132-CANTO DO FORTE;REGULAR;SP;Litoral;726;56;9;7.71;23.462203856749312;58.16;79.61432506887053;74.10468319559229;76.44628099173553;2799.0;1314.0;129118.0;-5.51;-3.17;34.45;excelente;zona_qualidade;excelente;atencao_leve;False
L5239-CACAPAVA;REGULAR;SP;Interior;339;25;9;7.37;23.101828908554573;58.116;73.15634218289085;72.86135693215338;73.15634218289085;1883.0;838.0;80544.0;-0.29;0.0;34.06;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5118-ARACATUBA;REGULAR;SP;Interior;273;25;6;9.16;23.046630036630035;57.07200000000001;76.55677655677655;71.42857142857143;75.0915750915751;1359.0;730.0;54939.0;-5.13;-1.47;33.85;excelente;zona_qualidade;excelente;atencao_leve;False
L5111-VINHEDO;REGULAR;SP;Interior;263;23;6;8.75;23.015779467680606;60.554;73.00380228136882;72.24334600760456;74.1444866920152;1222.0;698.0;62786.0;-0.76;1.14;33.65;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5225-ARUJA;REGULAR;SP;RMSP;269;22;6;8.18;22.60156133828996;57.99200000000001;74.34944237918215;73.60594795539033;73.23420074349443;1107.0;706.0;110432.0;-0.74;-1.12;33.42;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5003-LINS (0340);REGULAR;SP;Interior;367;27;6;7.36;23.220354223433244;54.816;72.47956403269755;71.93460490463215;73.02452316076294;1712.0;887.0;127225.0;-0.54;0.54;32.91;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5284-25 DE AGOSTO;REGULAR;RJ;RJ;708;52;9;7.34;23.260663841807908;56.344000000000015;80.36723163841808;73.87005649717514;77.25988700564972;2943.0;1325.0;77278.0;-6.5;-3.11;32.86;excelente;zona_qualidade;excelente;atencao_leve;False
L5278-ITAPECERICA DA SERRA;REGULAR;SP;RMSP;781;52;18;6.66;21.64934699103713;55.11;83.22663252240717;78.87323943661971;82.58642765685019;2890.0;1418.0;108034.0;-4.35;-0.64;32.64;excelente;excelente;excelente;atencao_leve;False
L5195-LEME;REGULAR;SP;Interior;306;26;10;8.5;21.45911764705882;56.455;81.69934640522875;76.79738562091504;80.3921568627451;1881.0;815.0;55447.0;-4.9;-1.31;32.32;excelente;excelente;excelente;atencao_leve;False
L5151-PINDAMONHANGABA;REGULAR;SP;Interior;328;23;10;7.01;22.942896341463413;53.971000000000025;81.70731707317073;73.17073170731707;77.4390243902439;1610.0;802.0;63503.0;-8.54;-4.27;32.3;excelente;zona_qualidade;excelente;atencao_leve;False
L5140-OSASCO KM 18;REGULAR;SP;RMSP;766;47;16;6.14;21.668720626631856;54.195;82.24543080939948;78.3289817232376;80.80939947780679;2344.0;1319.0;148066.0;-3.92;-1.44;32.22;excelente;excelente;excelente;atencao_leve;False
L5272-ILHABELA;TOCADORA;SP;Litoral;288;21;5;7.29;23.308611111111112;55.522000000000006;75.0;71.52777777777779;72.22222222222221;1364.0;773.0;112011.0;-3.47;-2.78;32.17;excelente;zona_qualidade;zona_qualidade;atencao_leve;False
L5281-OLIVEIRA FREIRE;REGULAR;SP;Capital;335;21;8;6.27;22.042597014925374;54.388000000000005;73.73134328358208;75.22388059701493;74.92537313432835;1715.0;859.0;96096.0;1.49;1.19;30.7;zona_qualidade;excelente;zona_qualidade;atencao_leve;False
L5227-CRUZEIRO;REGULAR;SP;Interior;333;24;7;7.21;22.115285285285285;56.54400000000001;78.07807807807808;75.37537537537537;77.77777777777779;1862.0;826.0;82886.0;-2.7;-0.3;30.54;excelente;excelente;excelente;atencao_leve;False
L5233-MONGAGUA;REGULAR;SP;Litoral;700;40;10;5.71;21.1933;54.36700000000001;83.42857142857143;79.57142857142857;80.85714285714286;2863.0;1292.0;128843.0;-3.86;-2.57;28.78;excelente;excelente;excelente;atencao_leve;False
L5154-RIO CLARO;REGULAR;SP;Interior;325;21;7;6.46;21.79870769230769;55.39400000000001;80.3076923076923;76.0;78.46153846153847;1657.0;819.0;58528.0;-4.31;-1.85;28.52;excelente;excelente;excelente;atencao_leve;False
L5164-ITAPETININGA;REGULAR;SP;Interior;485;27;7;5.57;21.84354639175258;55.206;77.7319587628866;76.70103092783506;77.7319587628866;2604.0;1022.0;79756.0;-1.03;0.0;27.81;excelente;excelente;excelente;atencao_leve;False
L5016-ANDRADINA (0573);REGULAR;SP;Interior;292;21;4;7.19;20.907808219178083;52.268000000000015;83.9041095890411;77.3972602739726;82.1917808219178;1665.0;781.0;69173.0;-6.51;-1.71;25.6;excelente;excelente;excelente;atencao_leve;False
L5246-MALL MULTI GERMINARE;TOCADORA;SP;Capital;293;15;5;5.12;20.522286689419794;51.72200000000001;86.00682593856655;78.839590443686;81.91126279863481;1232.0;707.0;215553.0;-7.17;-4.1;24.57;excelente;excelente;excelente;alta_performance;False
L5197-LIMEIRA;REGULAR;SP;Interior;399;24;5;6.02;20.634937343358395;51.602;84.21052631578947;79.4486215538847;82.95739348370927;1931.0;917.0;68007.0;-4.76;-1.25;24.3;excelente;excelente;excelente;atencao_leve;False
L5267-JAU;REGULAR;SP;Interior;239;10;4;4.18;18.27673640167364;48.70800000000003;83.68200836820083;84.51882845188284;86.19246861924687;1110.0;676.0;43702.0;0.84;2.51;17.19;excelente;excelente;excelente;atencao_leve;False
