centro_nv2;flag;uf;regiao;comentarios;comentarios_negativos;comentarios_negativos_longos;pct_negativo;severidade_media;severidade_p90;nps_tradicional;nps_textual;nps_hibrido;avaliacoes_ponderadas;linhas_avaliacao;transacoes;delta_textual_vs_tradicional;delta_hibrido_vs_tradicional;indice_prioridade;faixa_nps_tradicional;faixa_nps_textual;faixa_nps_hibrido;quadrante_risco;risco_oculto
L5065-LINS DE VASCONCELOS (1313);REGULAR;SP;Capital;684;76;29;11.11;27.697865497076023;75.20400000000001;67.69005847953217;63.1578947368421;66.22807017543859;2133.0;1252.0;121520.0;-4.53;-1.46;51.57;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5243-MONTE CASTELO;REGULAR;SP;Interior;251;34;10;13.55;28.11454183266932;75.19;62.15139442231076;58.964143426294825;60.95617529880478;1033.0;669.0;82595.0;-3.19;-1.2;51.57;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5249-SANTA TERESINHA;REGULAR;SP;RMSP;434;51;17;11.75;27.68811059907834;74.707;64.0552995391705;61.52073732718893;61.29032258064516;1908.0;952.0;131910.0;-2.53;-2.76;51.5;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5165-MOGI DAS CRUZES MOGILAR;REGULAR;SP;RMSP;336;42;15;12.5;28.79514880952381;73.57499999999999;66.07142857142857;58.03571428571429;65.17857142857143;1677.0;837.0;107254.0;-8.04;-0.89;51.49;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5009-PIRITUBA (0508);TOCADORA;SP;Capital;520;59;20;11.35;28.249;72.91300000000001;67.6923076923077;61.15384615384616;64.8076923076923;2022.0;1070.0;143019.0;-6.54;-2.88;51.17;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5236-JACAREI VILLA BRANCA;REGULAR;SP;Interior;145;22;7;15.17;27.133517241379312;73.52000000000001;63.44827586206897;59.310344827586206;62.758620689655174;694.0;499.0;80150.0;-4.14;-0.69;51.03;zona_qualidade;zona_qualidade;zona_qualidade;critico;False
L5188-CAJAMAR;REGULAR;SP;RMSP;429;54;20;12.59;26.593589743589742;74.46199999999999;69.46386946386947;63.86946386946387;68.76456876456876;2341.0;1027.0;155153.0;-5.59;-0.7;50.64;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5052-PINHEIROS (1277);TOCADORA;SP;Capital;359;48;10;13.37;27.79047353760446;74.99799999999999;63.231197771587745;59.888579387186624;62.116991643454035;1294.0;828.0;72088.0;-3.34;-1.11;50.53;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5028-VILA PAULICEIA (0853);REGULAR;SP;Capital;321;39;14;12.15;27.822367601246103;71.69;64.17445482866043;60.747663551401864;63.2398753894081;1583.0;823.0;97963.0;-3.43;-0.93;50.33;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5116-ENSEADA;REGULAR;SP;Litoral;449;55;22;12.25;26.591670378619153;74.128;69.71046770601336;63.91982182628062;68.37416481069042;1916.0;981.0;94709.0;-5.79;-1.34;50.11;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
