centro_nv2;total_com;pct_positivo;pct_neutro;pct_negativo;nps_tradicional;nps_ajustado;delta;alerta;flag;top3_problemas;top3_elogios;sentimento_medio
L5082-VILA ANDRADE (1346);527;0.0;0.0;0.0;79.20592193808884;79.20592193808884;0.0;ESTAVEL;REGULAR;;;
L5083-BARCELONA (1347);360;0.0;0.0;0.0;87.43131868131869;87.43131868131869;0.0;ESTAVEL;REGULAR;;;
L5084-GUAIPA (1349);519;0.0;0.0;0.0;85.85858585858585;85.85858585858585;0.0;ESTAVEL;TOCADORA;;;
L5086-PORTAL DO MORUMBI (1352);1396;0.0;0.0;0.0;86.86440677966102;86.86440677966102;0.0;ESTAVEL;REGULAR;;;
L5087-ALBERTO ANDALO (1353);350;0.0;0.0;0.0;90.03215434083602;90.03215434083602;0.0;ESTAVEL;REGULAR;;;
L5088-PONTA DA PRAIA (1363);453;0.0;0.0;0.0;87.80225685115529;87.80225685115529;0.0;ESTAVEL;REGULAR;;;
L5089-BOA VISTA (1364);363;0.0;0.0;0.0;87.02388637830859;87.02388637830859;0.0;ESTAVEL;REGULAR;;;
L5090-NORTE SUL (1365);469;0.0;0.0;0.0;87.146529562982;87.146529562982;0.0;ESTAVEL;TOCADORA;;;
L5091-NOVA CANTAREIRA (1366);458;0.0;0.0;0.0;86.67051356030005;86.67051356030005;0.0;ESTAVEL;TOCADORA;;;
L5092-VILA AUGUSTA (1374);543;0.0;0.0;0.0;83.64312267657994;83.64312267657994;0.0;ESTAVEL;TOCADORA;;;
L5093-PERDIZES 2 (1376);585;0.0;0.0;0.0;81.23441396508728;81.23441396508728;0.0;ESTAVEL;TOCADORA;;;
L5095-VILLA LOBOS (1380);585;0.0;0.0;0.0;78.65814696485623;78.65814696485623;0.0;ESTAVEL;TOCADORA;;;
L5097-JUNDIAI (1404);636;0.0;0.0;0.0;83.75056895766954;83.75056895766954;0.0;ESTAVEL;REGULAR;;;
L5098-AUTONOMISTAS (1405);1016;0.0;0.0;0.0;88.27351485148515;88.27351485148515;0.0;ESTAVEL;REGULAR;;;
L5099-VILA MATILDE (1421);672;0.0;0.0;0.0;85.72923935799022;85.72923935799022;0.0;ESTAVEL;REGULAR;;;
L5100-INTERLAGOS (1431);604;0.0;0.0;0.0;85.91874422899353;85.91874422899353;0.0;ESTAVEL;REGULAR;;;
L5101-CIDADE SAO FRANCISCO (1432);382;0.0;0.0;0.0;86.61800486618006;86.61800486618006;0.0;ESTAVEL;TOCADORA;;;
L5102-POMPEIA DESEMBARGADOR (1449);561;0.0;0.0;0.0;87.1569135163128;87.1569135163128;0.0;ESTAVEL;TOCADORA;;;
L5103-ATIBAIA (1454);972;0.0;0.0;0.0;84.75646422128683;84.75646422128683;0.0;ESTAVEL;TOCADORA;;;
L5105-DOM PEDRO I (1457);524;0.0;0.0;0.0;86.98092031425365;86.98092031425365;0.0;ESTAVEL;REGULAR;;;
L5106-GUILHERMINA (1516);147;0.0;0.0;0.0;90.24304332511448;90.24304332511448;0.0;ESTAVEL;REGULAR;;;
